dataset,target,term,coef,se,n_rows,rank,df_resid,r2,note
arc_challenge,difficulty,intercept,-3.0776996735435507,0.2532704540158849,8,6,2,0.9978296555536669,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,difficulty,is_augmentation,0.02847868507265272,0.13832558614245408,8,6,2,0.9978296555536669,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,difficulty,source_GPT,-0.19637991697875232,0.10863752078080408,8,6,2,0.9978296555536669,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,difficulty,source_Gemini,0.18786925062674953,0.045945714299869926,8,6,2,0.9978296555536669,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,difficulty,source_Qwen,0.1029226642250593,0.03507320139023716,8,6,2,0.9978296555536669,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,difficulty,mean_flaws,0.7575597084252199,0.162855393974786,8,6,2,0.9978296555536669,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,discrimination,intercept,1.221038816803493,0.021243158875018466,8,6,2,0.9956715200209295,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,discrimination,is_augmentation,0.044406831305820973,0.011602112904649771,8,6,2,0.9956715200209295,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,discrimination,source_GPT,0.02213960903599868,0.009112014753959409,8,6,2,0.9956715200209295,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,discrimination,source_Gemini,0.01116874161394842,0.00385371484522679,8,6,2,0.9956715200209295,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,discrimination,source_Qwen,-0.004321010555848155,0.002941778551641072,8,6,2,0.9956715200209295,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
arc_challenge,discrimination,mean_flaws,-0.007418638544766237,0.013659560177687064,8,6,2,0.9956715200209295,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,difficulty,intercept,18.53604051121065,0.6353685359173058,8,6,2,0.9962659911909071,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,difficulty,is_augmentation,0.5886506263311346,0.13024634529303705,8,6,2,0.9962659911909071,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,difficulty,source_GPT,0.22326833172856606,0.04689892421091005,8,6,2,0.9962659911909071,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
