dataset,setting,n_items,difficulty,difficulty_sd,discrimination,discrimination_sd,difficulty_se,discrimination_se,n_questions,mean_flaws,mean_flaws_se
gpqa,augment_human,1245,0.5736140257004423,1.4782901143201916,1.2428409874299584,0.35225046757396783,0.041896235006361575,0.00998313404630073,1245,3.181526104417671,0.05225437987548205
arc_challenge,augment_human,2985,-1.8164447396303365,1.5039200776655943,1.3004502244582241,0.4780845003852922,0.0275266011132164,0.008750492486904285,2985,2.4348408710217755,0.028607478046754523
gpqa,augment_model,1245,0.5119595459263332,1.506717518983028,1.2231205797927935,0.3597085617802107,0.04270189636798329,0.010194503969252576,1245,3.0923694779116464,0.048201271649657436
arc_challenge,augment_model,2985,-1.7938051182165229,1.5056897832265823,1.3141672904664443,0.4713798613801693,0.027558992448227217,0.008627775910243775,2985,2.4894472361809044,0.02958814534387363
mmlu_pro,augment_human,2862,-0.09202575417162155,1.6369018648683902,1.2570710195090353,0.3957797268609713,0.030597632826651053,0.007398074999259593,2862,3.4615653389238297,0.03381222052841103
mmlu_pro,augment_model,2862,-0.12370031018539909,1.6593064094507115,1.2688318410875372,0.4152727896825125,0.03101642765088037,0.007762447226869167,2862,3.1995108315863034,0.03225162505366024
gpqa,augment_ablation,1245,0.3384363330370454,1.5240222035947681,1.2016639914437748,0.384769467898186,0.0431923286087061,0.010904755361736448,1245,3.1927710843373496,0.04941407580477421
arc_challenge,augment_ablation,2985,-1.9773660711688494,1.4797054343345835,1.2986250093759713,0.4625603785844294,0.027083394829870436,0.008466350852789897,2985,2.4938023450586266,0.029946848818118425
mmlu_pro,augment_ablation,2862,-0.26888649762050015,1.656667377236274,1.269095669619867,0.42299266476003317,0.03096709779156009,0.007906750259420591,2862,3.221872816212439,0.03220431614379248
gpqa,model_from_scratch,1245,0.18650134773633542,1.4548406238377056,1.2363800197123767,0.34373948682483246,0.04123165276061919,0.0097419242552413,1245,2.512449799196787,0.039635220472647135
arc_challenge,model_from_scratch,2985,-2.3766606441824054,1.4882412982280901,1.2900029174577563,0.39765330364328105,0.0272396287441872,0.00727834147126483,2985,1.6860971524288106,0.023756222317225864
mmlu_pro,model_from_scratch,2862,-0.5085468543902354,1.6772240271011238,1.2922804855229315,0.3865570932676655,0.031351351019081014,0.007225681795708936,2862,2.648846960167715,0.02840393687052022
gpqa,human_from_scratch,1245,0.12117905099819501,1.3827229248776942,1.2792528066134377,0.34348866956412444,0.03918776432865459,0.009734815840731536,1245,2.5453815261044177,0.042265408022498056
arc_challenge,human_from_scratch,2985,-2.635832037984624,1.4157516833662849,1.278968704533222,0.3669848122423717,0.02591283436010738,0.00671700889643325,2985,1.4961474036850921,0.02209954433552606
mmlu_pro,human_from_scratch,2862,-0.658136232549595,1.6145564907403243,1.2636111541918493,0.39359659413075637,0.030179944040524778,0.007357266997799878,2862,2.8123689727463312,0.029715475035751185
