dataset,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available
arc_challenge,GPT Augment Human,augment_human,Augment Human,openai/gpt-5.2-2025-12-11,995,-0.9082803706394889,0.04986600536364948,1.1941713673611871,0.008375833289226255,2.9316582914572864,0.052877454173043806,True
arc_challenge,Gemini Augment Human,augment_human,Augment Human,google/gemini-3.1-pro-preview,995,-1.3004285042509611,0.04905242545636316,1.203682703131843,0.007796623072874132,2.093467336683417,0.045285813088431076,True
arc_challenge,Qwen Augment Human,augment_human,Augment Human,together/Qwen/Qwen3.5-397B-A17B,995,-1.2411121252922757,0.05034960113012472,1.1885126847405285,0.007956870751541115,2.279396984924623,0.04619236633835751,True
arc_challenge,GPT Augment Model,augment_model,Augment Model,openai/gpt-5.2-2025-12-11,995,-0.9576728945703651,0.05047160407408317,1.2159607568259925,0.007995385864967387,3.1085427135678394,0.053965030247239074,True
arc_challenge,Gemini Augment Model,augment_model,Augment Model,google/gemini-3.1-pro-preview,995,-1.271194640286843,0.04924360966454835,1.2047855710837991,0.007804855984401206,2.1055276381909547,0.046990881305705806,True
arc_challenge,Qwen Augment Model,augment_model,Augment Model,together/Qwen/Qwen3.5-397B-A17B,995,-1.2594796021127186,0.05022546329969193,1.1864565750707672,0.00795917945249054,2.2542713567839194,0.04663179037552986,True
arc_challenge,GPT Augment Ablation,augment_ablation,Ablation,openai/gpt-5.2-2025-12-11,995,-1.2517718087104461,0.050152452138182604,1.2051791387558226,0.007690310233132284,3.078391959798995,0.05498225410639786,True
arc_challenge,Gemini Augment Ablation,augment_ablation,Ablation,google/gemini-3.1-pro-preview,995,-1.3971083687031072,0.04963821861548132,1.1970463628624957,0.007686549080764421,2.164824120603015,0.04738779495124831,True
arc_challenge,Qwen Augment Ablation,augment_ablation,Ablation,together/Qwen/Qwen3.5-397B-A17B,995,-1.4014286807221408,0.050417541669187924,1.1774247656291137,0.008146753267902667,2.238190954773869,0.04785045855527956,True
mmlu_pro,GPT Augment Human,augment_human,Augment Human,openai/gpt-5.2-2025-12-11,954,0.8499852112610273,0.05489278353957887,1.1499636378948739,0.007354046854490394,3.805835010060362,0.05764182639830427,True
mmlu_pro,Gemini Augment Human,augment_human,Augment Human,google/gemini-3.1-pro-preview,954,0.6289430480422199,0.05552610629306326,1.1306653286058295,0.0077159856556817405,3.614688128772636,0.06621356726347065,True
mmlu_pro,Qwen Augment Human,augment_human,Augment Human,together/Qwen/Qwen3.5-397B-A17B,954,0.5511478829550773,0.055230432320075656,1.1298332764947598,0.007968171023683943,3.6639839034205233,0.06418057747017943,True
mmlu_pro,GPT Augment Model,augment_model,Augment Model,openai/gpt-5.2-2025-12-11,954,0.7985148941472773,0.0547349054694772,1.1457934985438418,0.007701011533464223,3.5925553319919517,0.055313936905051674,True
mmlu_pro,Gemini Augment Model,augment_model,Augment Model,google/gemini-3.1-pro-preview,954,0.5696944984985663,0.05569675726732838,1.133456263586122,0.008028655970016271,3.1780684104627768,0.05939012698137317,True
mmlu_pro,Qwen Augment Model,augment_model,Augment Model,together/Qwen/Qwen3.5-397B-A17B,954,0.44667945367207545,0.05630367130184764,1.1152077741505912,0.008119547939612769,3.4466800804828974,0.06443189254300802,True
mmlu_pro,GPT Augment Ablation,augment_ablation,Ablation,openai/gpt-5.2-2025-12-11,954,0.5642708636685838,0.05604328319483462,1.1492861536799355,0.0077063477416012376,3.5492957746478875,0.05542463403956084,True
mmlu_pro,Gemini Augment Ablation,augment_ablation,Ablation,google/gemini-3.1-pro-preview,954,0.4392300629200884,0.055177293420092366,1.1376609359529906,0.007827855502299128,3.2857142857142856,0.06179267860729741,True
mmlu_pro,Qwen Augment Ablation,augment_ablation,Ablation,together/Qwen/Qwen3.5-397B-A17B,954,0.30618136148158054,0.05543069161450023,1.1394318389451303,0.008149563861929417,3.4788732394366195,0.06513860314361733,True
gpqa,GPT Augment Human,augment_human,Augment Human,openai/gpt-5.2-2025-12-11,415,9.448602761671586,0.0014580864753478246,0.9999910507497517,1.004871631840049e-05,3.377880184331797,0.08856538239569468,True
gpqa,Gemini Augment Human,augment_human,Augment Human,google/gemini-3.1-pro-preview,415,9.277960665648521,0.001458448822607157,1.0000078353390127,1.0137868544062392e-05,3.2903225806451615,0.09021411187626803,True
gpqa,Qwen Augment Human,augment_human,Augment Human,together/Qwen/Qwen3.5-397B-A17B,415,9.2050260873973,0.001457133733690269,1.0000050911420861,9.933291629223247e-06,3.0668202764976957,0.09276294998322437,True
gpqa,GPT Augment Model,augment_model,Augment Model,openai/gpt-5.2-2025-12-11,415,9.4069443697575,0.0014582131926408537,0.9999979822731787,9.680360337439058e-06,3.421658986175115,0.0816829896538356,True
gpqa,Gemini Augment Model,augment_model,Augment Model,google/gemini-3.1-pro-preview,415,9.23630346656027,0.0014578442206976143,1.0000157360877617,1.0218214695605196e-05,2.986175115207373,0.08587758164522051,True
gpqa,Qwen Augment Model,augment_model,Augment Model,together/Qwen/Qwen3.5-397B-A17B,415,9.163382327266445,0.0014559456143629892,1.0000263132933402,1.059887441750504e-05,2.9331797235023043,0.08799377875069313,True
gpqa,GPT Augment Ablation,augment_ablation,Ablation,openai/gpt-5.2-2025-12-11,415,9.2289099365808,0.0014563546864965855,1.0000231589886865,1.0526779978304888e-05,3.4953917050691246,0.08464725510241725,True
gpqa,Gemini Augment Ablation,augment_ablation,Ablation,google/gemini-3.1-pro-preview,415,9.058251303303226,0.0014568078692988261,1.0000232059186107,1.1106088783674386e-05,3.1313364055299537,0.08480499508841186,True
gpqa,Qwen Augment Ablation,augment_ablation,Ablation,together/Qwen/Qwen3.5-397B-A17B,415,8.985338651189245,0.0014552299946446446,1.000037685027151,1.0864531988831633e-05,3.1175115207373274,0.09235892824600932,True
