item_id,stem_id,dataset,sample_id,generator,setting,choice_count,question,difficulty,discrimination,guessing
arc_challenge::arc_challenge:Mercury_7235638::openai/gpt-5.2-2025-12-11::augment_human_m5,arc_challenge::arc_challenge:Mercury_7235638,arc_challenge,arc_challenge:Mercury_7235638,openai/gpt-5.2-2025-12-11,augment_human_m5,9,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by which events?",4.350402708551377,1.0191330867786257,0.05483862241217774
arc_challenge::arc_challenge:Mercury_7235638::openai/gpt-5.2-2025-12-11::augment_model_m4,arc_challenge::arc_challenge:Mercury_7235638,arc_challenge,arc_challenge:Mercury_7235638,openai/gpt-5.2-2025-12-11,augment_model_m4,8,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by which events?",4.340957210702517,1.0176760449629716,0.09413802494978492
arc_challenge::arc_challenge:Mercury_SC_401818::openai/gpt-5.2-2025-12-11::augment_human_m5,arc_challenge::arc_challenge:Mercury_SC_401818,arc_challenge,arc_challenge:Mercury_SC_401818,openai/gpt-5.2-2025-12-11,augment_human_m5,9,A student has recorded the speed of cars for a science experiment. What type of graph would give the most detail about cars traveling in a particular speed range?,4.338403038590613,1.0175640330058608,0.13005353114065385
arc_challenge::arc_challenge:Mercury_SC_401818::openai/gpt-5.2-2025-12-11::augment_model_m4,arc_challenge::arc_challenge:Mercury_SC_401818,arc_challenge,arc_challenge:Mercury_SC_401818,openai/gpt-5.2-2025-12-11,augment_model_m4,8,A student has recorded the speed of cars for a science experiment. What type of graph would give the most detail about cars traveling in a particular speed range?,4.329490793124549,1.0181963540272174,0.09413945639137254
arc_challenge::arc_challenge:Mercury_7235638::openai/gpt-5.2-2025-12-11::augment_model_m5,arc_challenge::arc_challenge:Mercury_7235638,arc_challenge,arc_challenge:Mercury_7235638,openai/gpt-5.2-2025-12-11,augment_model_m5,9,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by which events?",4.3242051907119,1.0198017485841664,0.05483862241223118
arc_challenge::arc_challenge:Mercury_SC_401818::openai/gpt-5.2-2025-12-11::augment_model_m5,arc_challenge::arc_challenge:Mercury_SC_401818,arc_challenge,arc_challenge:Mercury_SC_401818,openai/gpt-5.2-2025-12-11,augment_model_m5,9,A student has recorded the speed of cars for a science experiment. What type of graph would give the most detail about cars traveling in a particular speed range?,4.312694003530044,1.0201268456283406,0.05483862241222292
arc_challenge::arc_challenge:Mercury_7235638::openai/gpt-5.2-2025-12-11::augment_human_m4,arc_challenge::arc_challenge:Mercury_7235638,arc_challenge,arc_challenge:Mercury_7235638,openai/gpt-5.2-2025-12-11,augment_human_m4,8,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by which events?",4.282696547220275,1.0209207758017276,0.058927468966729034
arc_challenge::arc_challenge:Mercury_SC_401818::openai/gpt-5.2-2025-12-11::augment_human_m4,arc_challenge::arc_challenge:Mercury_SC_401818,arc_challenge,arc_challenge:Mercury_SC_401818,openai/gpt-5.2-2025-12-11,augment_human_m4,8,A student has recorded the speed of cars for a science experiment. What type of graph would give the most detail about cars traveling in a particular speed range?,4.271055736786029,1.0206337389833466,0.09414531476190421
arc_challenge::arc_challenge:Mercury_7235638::openai/gpt-5.2-2025-12-11::augment_human_m3,arc_challenge::arc_challenge:Mercury_7235638,arc_challenge,arc_challenge:Mercury_7235638,openai/gpt-5.2-2025-12-11,augment_human_m3,7,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by which events?",4.2636553087711615,1.0214665993281784,0.0638405080330596
mmlu_pro::mmlu_pro:906::openai/gpt-5.2-2025-12-11::augment_human_m5,mmlu_pro::mmlu_pro:906,mmlu_pro,mmlu_pro:906,openai/gpt-5.2-2025-12-11,augment_human_m5,9,"Two men were told by the defendant that a medical devices company was now using the old warehouse on the river for storing its supply of defibrillators. Late one night, the two men broke into the warehouse and proceeded to load the large crates of defibrillators onto their truck. As they were leaving, one of the men inadvertently threw his cigarette butt into a refuse pile of old cardboard boxes and papers. Soon afterward, the refuse ignited into a small fire. Although the men had time to douse the fire without any danger to themselves, they did not do so. Instead, they fled. Meanwhile, the fire quickly spread, engulfing the entire warehouse in flames. If the defendant is later charged as a co-conspirator, in all likelihood he would be held responsible as",4.256713746136081,1.0212733362026896,0.05483862241220407
