item_id,dataset,sample_id,generator,setting,vllm/Qwen/Qwen3-14B,vllm/Qwen/Qwen3-4B-Instruct-2507,vllm/allenai/Olmo-3-7B-Instruct,vllm/meta-llama/Llama-3.1-8B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,n_evaluators,n_correct,mean_correct,correctness_variance,all_evaluators_same,correctness_pattern,difficulty,discrimination,guessing
gpqa::gpqa:rec055vn3qEqKHHTc::google/gemini-3.1-pro-preview::augment_ablation,gpqa,gpqa:rec055vn3qEqKHHTc,google/gemini-3.1-pro-preview,augment_ablation,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.111507874715024,0.999996949503106,0.0685797992716894
gpqa::gpqa:rec055vn3qEqKHHTc::google/gemini-3.1-pro-preview::augment_human,gpqa,gpqa:rec055vn3qEqKHHTc,google/gemini-3.1-pro-preview,augment_human,0.0,1.0,1.0,0.0,0.0,1.0,6,3.0,0.5,0.25,False,011001,19.25804724452973,1.0000051393039164,0.2861748804256588
gpqa::gpqa:rec055vn3qEqKHHTc::google/gemini-3.1-pro-preview::augment_model,gpqa,gpqa:rec055vn3qEqKHHTc,google/gemini-3.1-pro-preview,augment_model,0.0,1.0,0.0,0.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,010000,19.30591212512698,0.999998993203027,0.1249147365122832
gpqa::gpqa:rec055vn3qEqKHHTc::google/gemini-3.1-pro-preview::human_from_scratch,gpqa,gpqa:rec055vn3qEqKHHTc,google/gemini-3.1-pro-preview,human_from_scratch,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,000100,18.567878176576816,0.99999845084174,0.2072099849869071
gpqa::gpqa:rec055vn3qEqKHHTc::google/gemini-3.1-pro-preview::model_from_scratch,gpqa,gpqa:rec055vn3qEqKHHTc,google/gemini-3.1-pro-preview,model_from_scratch,1.0,1.0,0.0,1.0,1.0,1.0,6,5.0,0.8333333333333334,0.13888888888888892,False,110111,18.708917600970207,1.0000051516325137,0.5898244727663652
gpqa::gpqa:rec055vn3qEqKHHTc::openai/gpt-5.2-2025-12-11::augment_ablation,gpqa,gpqa:rec055vn3qEqKHHTc,openai/gpt-5.2-2025-12-11,augment_ablation,0.0,1.0,0.0,0.0,0.0,1.0,6,2.0,0.3333333333333333,0.22222222222222224,False,010001,19.280944266089268,1.0000011041091934,0.1990930241079654
gpqa::gpqa:rec055vn3qEqKHHTc::openai/gpt-5.2-2025-12-11::augment_human,gpqa,gpqa:rec055vn3qEqKHHTc,openai/gpt-5.2-2025-12-11,augment_human,1.0,1.0,0.0,0.0,0.0,1.0,6,3.0,0.5,0.25,False,110001,19.42747520556902,1.000004201228706,0.2861747812281775
gpqa::gpqa:rec055vn3qEqKHHTc::openai/gpt-5.2-2025-12-11::augment_model,gpqa,gpqa:rec055vn3qEqKHHTc,openai/gpt-5.2-2025-12-11,augment_model,1.0,1.0,0.0,0.0,0.0,1.0,6,3.0,0.5,0.25,False,110001,19.47534888039357,1.0000042436241796,0.2861747824087281
gpqa::gpqa:rec055vn3qEqKHHTc::openai/gpt-5.2-2025-12-11::human_from_scratch,gpqa,gpqa:rec055vn3qEqKHHTc,openai/gpt-5.2-2025-12-11,human_from_scratch,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,000100,18.737303079116145,0.9999982498614776,0.2072100090210412
gpqa::gpqa:rec055vn3qEqKHHTc::openai/gpt-5.2-2025-12-11::model_from_scratch,gpqa,gpqa:rec055vn3qEqKHHTc,openai/gpt-5.2-2025-12-11,model_from_scratch,1.0,1.0,0.0,1.0,1.0,1.0,6,5.0,0.8333333333333334,0.13888888888888892,False,110111,18.878343672068453,1.0000047715130342,0.5898239561772408
gpqa::gpqa:rec055vn3qEqKHHTc::together/Qwen/Qwen3.5-397B-A17B::augment_ablation,gpqa,gpqa:rec055vn3qEqKHHTc,together/Qwen/Qwen3.5-397B-A17B,augment_ablation,0.0,1.0,0.0,1.0,1.0,1.0,6,4.0,0.6666666666666666,0.22222222222222224,False,010111,19.04531479303971,1.000006796357842,0.3813026166830016
gpqa::gpqa:rec055vn3qEqKHHTc::together/Qwen/Qwen3.5-397B-A17B::augment_human,gpqa,gpqa:rec055vn3qEqKHHTc,together/Qwen/Qwen3.5-397B-A17B,augment_human,1.0,1.0,0.0,0.0,1.0,1.0,6,4.0,0.6666666666666666,0.22222222222222224,False,110011,19.19183953926269,1.000006593033966,0.3813026408652722
gpqa::gpqa:rec055vn3qEqKHHTc::together/Qwen/Qwen3.5-397B-A17B::augment_model,gpqa,gpqa:rec055vn3qEqKHHTc,together/Qwen/Qwen3.5-397B-A17B,augment_model,1.0,0.0,0.0,0.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,100000,19.239696170712616,0.9999977022592124,0.1249148018505873
gpqa::gpqa:rec055vn3qEqKHHTc::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,gpqa,gpqa:rec055vn3qEqKHHTc,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,000100,18.501662014604264,0.999998045613276,0.2072100545071886
gpqa::gpqa:rec055vn3qEqKHHTc::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,gpqa,gpqa:rec055vn3qEqKHHTc,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,1.0,1.0,1.0,1.0,1.0,1.0,6,6.0,1.0,0.0,True,111111,18.642707999133783,1.000006182887664,0.6864459088628798
gpqa::gpqa:rec06pnAkLOr2t2mp::google/gemini-3.1-pro-preview::augment_ablation,gpqa,gpqa:rec06pnAkLOr2t2mp,google/gemini-3.1-pro-preview,augment_ablation,0.0,0.0,1.0,0.0,0.0,1.0,6,2.0,0.3333333333333333,0.22222222222222224,False,001001,19.20489919155971,1.0000018220136917,0.1990930015244798
gpqa::gpqa:rec06pnAkLOr2t2mp::google/gemini-3.1-pro-preview::augment_human,gpqa,gpqa:rec06pnAkLOr2t2mp,google/gemini-3.1-pro-preview,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.35141437929197,0.9999972237055794,0.0685797992716795
gpqa::gpqa:rec06pnAkLOr2t2mp::google/gemini-3.1-pro-preview::augment_model,gpqa,gpqa:rec06pnAkLOr2t2mp,google/gemini-3.1-pro-preview,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.39928812140638,0.9999972442631114,0.0685797992716987
gpqa::gpqa:rec06pnAkLOr2t2mp::google/gemini-3.1-pro-preview::human_from_scratch,gpqa,gpqa:rec06pnAkLOr2t2mp,google/gemini-3.1-pro-preview,human_from_scratch,0.0,1.0,0.0,0.0,0.0,1.0,6,2.0,0.3333333333333333,0.22222222222222224,False,010001,18.66126321860576,1.0000001129528169,0.29524859150853
gpqa::gpqa:rec06pnAkLOr2t2mp::google/gemini-3.1-pro-preview::model_from_scratch,gpqa,gpqa:rec06pnAkLOr2t2mp,google/gemini-3.1-pro-preview,model_from_scratch,0.0,0.0,0.0,0.0,0.0,1.0,6,1.0,0.16666666666666666,0.13888888888888892,False,000001,18.80228278078412,0.9999979503264584,0.2072100339821178
gpqa::gpqa:rec06pnAkLOr2t2mp::openai/gpt-5.2-2025-12-11::augment_ablation,gpqa,gpqa:rec06pnAkLOr2t2mp,openai/gpt-5.2-2025-12-11,augment_ablation,0.0,0.0,0.0,0.0,0.0,1.0,6,1.0,0.16666666666666666,0.13888888888888892,False,000001,19.374319407419268,0.999998638295708,0.1249147123822117
gpqa::gpqa:rec06pnAkLOr2t2mp::openai/gpt-5.2-2025-12-11::augment_human,gpqa,gpqa:rec06pnAkLOr2t2mp,openai/gpt-5.2-2025-12-11,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.520838826078567,0.999996967301462,0.0685797992716841
gpqa::gpqa:rec06pnAkLOr2t2mp::openai/gpt-5.2-2025-12-11::augment_model,gpqa,gpqa:rec06pnAkLOr2t2mp,openai/gpt-5.2-2025-12-11,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.56871257687484,0.9999969854615752,0.0685797992716774
gpqa::gpqa:rec06pnAkLOr2t2mp::openai/gpt-5.2-2025-12-11::human_from_scratch,gpqa,gpqa:rec06pnAkLOr2t2mp,openai/gpt-5.2-2025-12-11,human_from_scratch,0.0,1.0,1.0,0.0,0.0,1.0,6,3.0,0.5,0.25,False,011001,18.83069084051909,1.00000156702804,0.3908894372705792
