item_id,dataset,sample_id,generator,setting,question,n_obs,outfit,infit
arc_challenge::arc_challenge:Mercury_401195::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_401195,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which characteristic is a trait that is not passed from parent plants to their offspring?,14,4.571981143050649,0.9308664855255672
mmlu_pro::mmlu_pro:2394::openai/gpt-5.2-2025-12-11::human_from_scratch,mmlu_pro,mmlu_pro:2394,openai/gpt-5.2-2025-12-11,human_from_scratch,Form A of a standardized personality test was given in the fall and again in the spring co the same group of people. The reliability estimate that resulted from this research is referred to as,14,4.338477056628081,0.8781577195010783
arc_challenge::arc_challenge:MCAS_2011_8_17694::google/gemini-3.1-pro-preview::augment_ablation,arc_challenge,arc_challenge:MCAS_2011_8_17694,google/gemini-3.1-pro-preview,augment_ablation,Which of the following best describes the function of an encoder in a telephone communication system?,14,3.928310640842457,0.881788398852567
gpqa::gpqa:recsibPli53Ona88K::together/Qwen/Qwen3.5-397B-A17B::augment_ablation,gpqa,gpqa:recsibPli53Ona88K,together/Qwen/Qwen3.5-397B-A17B,augment_ablation,"A 35-year-old woman presents with a painless lump in her right breast. She has a family history of breast cancer; with her mother and sister both being diagnosed with the disease at an early age. She has never undergone breast imaging. On physical examination, a firm, non-tender, mobile mass measuring 2 cm in diameter is palpated in the upper outer quadrant of the right breast. There are no other abnormalities. Considering the patient's clinical presentation and the need for a comprehensive diagnostic approach, which of the following highly specialized and advanced diagnostic modalities should be performed next to ascertain an accurate diagnosis, presenting a challenging yet valuable clinical puzzle for the medical professionals involved?",14,3.684028390297617,0.8011423728339139
mmlu_pro::mmlu_pro:1144::openai/gpt-5.2-2025-12-11::augment_ablation,mmlu_pro,mmlu_pro:1144,openai/gpt-5.2-2025-12-11,augment_ablation,"A defendant wished to see his high school basketball team win the state championship. During an important game, the defendant pulled out a gun and shot at the leg of a key player on the opposing team. The defendant intended only to inflict a slight wound so that the opposing player would be unable to complete the game. When the defendant fired the shot, he unintentionally hit a player on his own high school team in the chest, killing him instantly. What is the most serious crime that the defendant can be convicted of?",14,3.6058882086418067,0.8407278212743998
arc_challenge::arc_challenge:WASL_2004_8_17::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:WASL_2004_8_17,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,"Michael claims he can use the bands on a woolly caterpillar to predict winter. He says long black bands mean a hard winter, and short black bands mean a mild winter. Last week he found three woolly caterpillars with long black bands. Which of the following do his observations show?",14,3.3515332394275568,0.9228450463612884
arc_challenge::arc_challenge:Mercury_7282083::openai/gpt-5.2-2025-12-11::model_from_scratch,arc_challenge,arc_challenge:Mercury_7282083,openai/gpt-5.2-2025-12-11,model_from_scratch,What can cause an offspring to have a physical trait neither of its parents has?,14,3.2768799596287477,0.7801392652325416
arc_challenge::arc_challenge:WASL_2004_8_17::openai/gpt-5.2-2025-12-11::human_from_scratch,arc_challenge,arc_challenge:WASL_2004_8_17,openai/gpt-5.2-2025-12-11,human_from_scratch,"Michael claims he can use the bands on a woolly caterpillar to predict winter. He says long black bands mean a hard winter, and short black bands mean a mild winter. Last week he found three woolly caterpillars with long black bands. Which of the following do his observations show?",14,3.2067385372866246,0.8986667149452394
mmlu_pro::mmlu_pro:2177::google/gemini-3.1-pro-preview::augment_human,mmlu_pro,mmlu_pro:2177,google/gemini-3.1-pro-preview,augment_human,"Jim and Tim are identical (monozygotic) twins that were reared together. Scott and Michael are fraternal (dizygotic) twins that were reared together. Given the results of heritability studies of intelligence, which of the following outcomes are most likely to emerge?",14,3.181925972789206,0.9564337091299596
mmlu_pro::mmlu_pro:1144::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:1144,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,"A defendant wished to see his high school basketball team win the state championship. During an important game, the defendant pulled out a gun and shot at the leg of a key player on the opposing team. The defendant intended only to inflict a slight wound so that the opposing player would be unable to complete the game. When the defendant fired the shot, he unintentionally hit a player on his own high school team in the chest, killing him instantly. What is the most serious crime that the defendant can be convicted of?",14,3.175008677592875,0.894660586022345
arc_challenge::arc_challenge:VASoL_2009_3_22::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:VASoL_2009_3_22,google/gemini-3.1-pro-preview,human_from_scratch,Which of these tells something about how an apple looks?,14,3.1651564045813707,0.8934952232823377
mmlu_pro::mmlu_pro:1144::google/gemini-3.1-pro-preview::human_from_scratch,mmlu_pro,mmlu_pro:1144,google/gemini-3.1-pro-preview,human_from_scratch,"A defendant wished to see his high school basketball team win the state championship. During an important game, the defendant pulled out a gun and shot at the leg of a key player on the opposing team. The defendant intended only to inflict a slight wound so that the opposing player would be unable to complete the game. When the defendant fired the shot, he unintentionally hit a player on his own high school team in the chest, killing him instantly. What is the most serious crime that the defendant can be convicted of?",14,3.1243921943492237,0.8889757036674761
arc_challenge::arc_challenge:WASL_2005_8_12::openai/gpt-5.2-2025-12-11::augment_ablation,arc_challenge,arc_challenge:WASL_2005_8_12,openai/gpt-5.2-2025-12-11,augment_ablation,"In your garden, you want to plant marigolds all around your pepper plants because you read that this flower repels whiteflies. How can you test to see if marigolds really do repel whiteflies?",14,3.047832497131947,0.9742174756102957
arc_challenge::arc_challenge:TAKS_2009_5_36::together/Qwen/Qwen3.5-397B-A17B::augment_ablation,arc_challenge,arc_challenge:TAKS_2009_5_36,together/Qwen/Qwen3.5-397B-A17B,augment_ablation,"When a dog sees a cat, a message travels from the dog's eyes to the dog's",14,2.878612143614073,0.8985103161000657
arc_challenge::arc_challenge:Mercury_7282083::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_7282083,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,What can cause an offspring to have a physical trait neither of its parents has?,14,2.8063131484304393,0.9797073278428288
arc_challenge::arc_challenge:AIMS_2009_4_12::openai/gpt-5.2-2025-12-11::augment_ablation,arc_challenge,arc_challenge:AIMS_2009_4_12,openai/gpt-5.2-2025-12-11,augment_ablation,Sam poured water on a pile of dirt and observed that some dirt eroded from the pile. Which question could he test to learn more about erosion?,14,2.7611503170640246,0.8731507404876236
