test_taker,dataset,generator,setting,choice_group,n_obs,mean_correct,mean_predicted,mean_residual
openai/gpt-5.4-mini,arc_challenge,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,995,0.9728643216080402,0.9767810607628552,-0.0039167391548150686
openai/gpt-5.4-mini,arc_challenge,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,995,0.978894472361809,0.9767239254570195,0.00217054690478961
openai/gpt-5.4-mini,arc_challenge,google/gemini-3.1-pro-preview,augment_human,10-choice,995,0.9567839195979899,0.9560977126244031,0.000686206973586837
openai/gpt-5.4-mini,arc_challenge,google/gemini-3.1-pro-preview,augment_model,10-choice,982,0.9531568228105907,0.9561585789601708,-0.003001756149580117
openai/gpt-5.4-mini,arc_challenge,google/gemini-3.1-pro-preview,augment_ablation,10-choice,988,0.97165991902834,0.9634647622806309,0.008195156747709152
openai/gpt-5.4-mini,mmlu_pro,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,954,0.8763102725366876,0.8805827765248058,-0.004272503988118181
openai/gpt-5.4-mini,mmlu_pro,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,954,0.8490566037735849,0.8710791058691787,-0.022022502095593765
openai/gpt-5.4-mini,mmlu_pro,google/gemini-3.1-pro-preview,augment_human,10-choice,954,0.8249475890985325,0.8127619992382558,0.012185589860276739
openai/gpt-5.4-mini,mmlu_pro,google/gemini-3.1-pro-preview,augment_model,10-choice,552,0.8188405797101449,0.8184539184472363,0.0003866612629087479
openai/gpt-5.4-mini,mmlu_pro,google/gemini-3.1-pro-preview,augment_ablation,10-choice,600,0.8066666666666666,0.8227831302759281,-0.016116463609261413
openai/gpt-5.4-mini,gpqa,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,413,0.801452784503632,0.8231229894925806,-0.02167020498894865
openai/gpt-5.4-mini,gpqa,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,413,0.7699757869249395,0.8162356106537162,-0.046259823728776774
openai/gpt-5.4-mini,gpqa,google/gemini-3.1-pro-preview,augment_human,10-choice,409,0.7090464547677262,0.7240312956653927,-0.014984840897666586
openai/gpt-5.4-mini,gpqa,google/gemini-3.1-pro-preview,augment_model,10-choice,371,0.7008086253369272,0.7190976977046084,-0.018289072367681194
openai/gpt-5.4-mini,gpqa,google/gemini-3.1-pro-preview,augment_ablation,10-choice,376,0.7021276595744681,0.734118085314188,-0.03199042573971992
vllm/Qwen/Qwen3-4B-Instruct-2507,arc_challenge,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,995,0.9035175879396985,0.8839701573850437,0.01954743055465481
vllm/Qwen/Qwen3-4B-Instruct-2507,arc_challenge,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,995,0.8834170854271357,0.8675182915903278,0.015898793836807895
vllm/Qwen/Qwen3-4B-Instruct-2507,arc_challenge,google/gemini-3.1-pro-preview,augment_human,10-choice,995,0.8040201005025126,0.7905765001397301,0.013443600362782382
vllm/Qwen/Qwen3-4B-Instruct-2507,arc_challenge,google/gemini-3.1-pro-preview,augment_model,10-choice,995,0.8060301507537688,0.7817643878841354,0.02426576286963346
vllm/Qwen/Qwen3-4B-Instruct-2507,arc_challenge,google/gemini-3.1-pro-preview,augment_ablation,10-choice,995,0.8110552763819096,0.7984846233923094,0.012570652989600204
vllm/Qwen/Qwen3-4B-Instruct-2507,gpqa,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,415,0.3710843373493976,0.45908554987215017,-0.08800121252275259
vllm/Qwen/Qwen3-4B-Instruct-2507,gpqa,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,415,0.363855421686747,0.47101219220893453,-0.10715677052218757
vllm/Qwen/Qwen3-4B-Instruct-2507,gpqa,google/gemini-3.1-pro-preview,augment_human,10-choice,415,0.24096385542168675,0.2984037763317724,-0.05743992091008564
vllm/Qwen/Qwen3-4B-Instruct-2507,gpqa,google/gemini-3.1-pro-preview,augment_model,10-choice,415,0.23132530120481928,0.30621550319575525,-0.07489020199093596
vllm/Qwen/Qwen3-4B-Instruct-2507,gpqa,google/gemini-3.1-pro-preview,augment_ablation,10-choice,415,0.25060240963855424,0.3409942752678972,-0.09039186562934298
vllm/Qwen/Qwen3-4B-Instruct-2507,mmlu_pro,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,954,0.5272536687631028,0.6002107226654694,-0.07295705390236669
vllm/Qwen/Qwen3-4B-Instruct-2507,mmlu_pro,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,954,0.4968553459119497,0.5888898967576518,-0.09203455084570213
vllm/Qwen/Qwen3-4B-Instruct-2507,mmlu_pro,google/gemini-3.1-pro-preview,augment_human,10-choice,954,0.3805031446540881,0.43933248463581287,-0.058829339981724835
vllm/Qwen/Qwen3-4B-Instruct-2507,mmlu_pro,google/gemini-3.1-pro-preview,augment_model,10-choice,954,0.3941299790356394,0.4501715788536078,-0.056041599817968385
vllm/Qwen/Qwen3-4B-Instruct-2507,mmlu_pro,google/gemini-3.1-pro-preview,augment_ablation,10-choice,954,0.39832285115303984,0.46946293648431325,-0.07114008533127342
vllm/allenai/Olmo-3-7B-Instruct,arc_challenge,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,994,0.7686116700201208,0.7532633036346762,0.015348366385444602
vllm/allenai/Olmo-3-7B-Instruct,arc_challenge,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,995,0.7095477386934673,0.7201915746135523,-0.010643835920084924
vllm/allenai/Olmo-3-7B-Instruct,arc_challenge,google/gemini-3.1-pro-preview,augment_human,10-choice,995,0.6201005025125628,0.5995518325227988,0.020548669989764044
vllm/allenai/Olmo-3-7B-Instruct,arc_challenge,google/gemini-3.1-pro-preview,augment_model,10-choice,995,0.5889447236180905,0.5790686807680597,0.009876042850030771
vllm/allenai/Olmo-3-7B-Instruct,arc_challenge,google/gemini-3.1-pro-preview,augment_ablation,10-choice,995,0.6030150753768844,0.6038304911796327,-0.0008154158027483073
vllm/allenai/Olmo-3-7B-Instruct,gpqa,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,415,0.2987951807228916,0.31145639347022464,-0.012661212747333032
vllm/allenai/Olmo-3-7B-Instruct,gpqa,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,415,0.327710843373494,0.32643521952714744,0.0012756238463465274
vllm/allenai/Olmo-3-7B-Instruct,gpqa,google/gemini-3.1-pro-preview,augment_human,10-choice,415,0.16626506024096385,0.17325428882420899,-0.006989228583245115
vllm/allenai/Olmo-3-7B-Instruct,gpqa,google/gemini-3.1-pro-preview,augment_model,10-choice,415,0.20240963855421687,0.1811958382245221,0.02121380032969476
vllm/allenai/Olmo-3-7B-Instruct,gpqa,google/gemini-3.1-pro-preview,augment_ablation,10-choice,415,0.23132530120481928,0.20252041998397488,0.028804881220844385
vllm/allenai/Olmo-3-7B-Instruct,mmlu_pro,google/gemini-3.1-pro-preview,human_from_scratch,4-choice,953,0.3987408184679958,0.4322810290377025,-0.03354021056970667
vllm/allenai/Olmo-3-7B-Instruct,mmlu_pro,google/gemini-3.1-pro-preview,model_from_scratch,4-choice,954,0.3836477987421384,0.42333908587830177,-0.03969128713616343
