item_id,dataset,sample_id,generator,setting,question,n_obs,outfit,infit
arc_challenge::arc_challenge:Mercury_7038833::google/gemini-3.1-pro-preview::model_from_scratch,arc_challenge,arc_challenge:Mercury_7038833,google/gemini-3.1-pro-preview,model_from_scratch,Which of these describes the property of being a thermal insulator?,14,0.001017045217322794,0.003297609587604963
arc_challenge::arc_challenge:Mercury_405136::google/gemini-3.1-pro-preview::model_from_scratch,arc_challenge,arc_challenge:Mercury_405136,google/gemini-3.1-pro-preview,model_from_scratch,Which statement is true about rocks?,14,0.001017045217322794,0.003297609587604963
arc_challenge::arc_challenge:MCAS_8_2014_8::google/gemini-3.1-pro-preview::model_from_scratch,arc_challenge,arc_challenge:MCAS_8_2014_8,google/gemini-3.1-pro-preview,model_from_scratch,Which of the following is the most important function of the research and development department of a large corporation?,14,0.001017045217322794,0.003297609587604963
arc_challenge::arc_challenge:Mercury_7107328::google/gemini-3.1-pro-preview::model_from_scratch,arc_challenge,arc_challenge:Mercury_7107328,google/gemini-3.1-pro-preview,model_from_scratch,Two different species evolving from a common ancestor most likely occurs,14,0.001017045217322794,0.003297609587604963
arc_challenge::arc_challenge:TIMSS_2003_8_pg94::google/gemini-3.1-pro-preview::model_from_scratch,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,google/gemini-3.1-pro-preview,model_from_scratch,The Sun is an example of which of the following?,14,0.001017045217322794,0.003297609587604963
arc_challenge::arc_challenge:Mercury_7038833::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_7038833,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which of these describes the property of being a thermal insulator?,14,0.0009267081399840946,0.002990665268959873
arc_challenge::arc_challenge:Mercury_405136::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_405136,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which statement is true about rocks?,14,0.0009267081399840946,0.002990665268959873
arc_challenge::arc_challenge:Mercury_7107328::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_7107328,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Two different species evolving from a common ancestor most likely occurs,14,0.0009267081399840946,0.002990665268959873
arc_challenge::arc_challenge:MCAS_8_2014_8::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:MCAS_8_2014_8,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which of the following is the most important function of the research and development department of a large corporation?,14,0.0009267081399840946,0.002990665268959873
arc_challenge::arc_challenge:TIMSS_2003_8_pg94::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,The Sun is an example of which of the following?,14,0.0009267081399840946,0.002990665268959873
arc_challenge::arc_challenge:Mercury_405136::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:Mercury_405136,google/gemini-3.1-pro-preview,human_from_scratch,Which statement is true about rocks?,14,0.0008355428519765266,0.0026833853941870237
arc_challenge::arc_challenge:Mercury_7107328::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:Mercury_7107328,google/gemini-3.1-pro-preview,human_from_scratch,Two different species evolving from a common ancestor most likely occurs,14,0.0008355428519765266,0.0026833853941870237
arc_challenge::arc_challenge:Mercury_7038833::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:Mercury_7038833,google/gemini-3.1-pro-preview,human_from_scratch,Which of these describes the property of being a thermal insulator?,14,0.0008355428519765266,0.0026833853941870237
arc_challenge::arc_challenge:TIMSS_2003_8_pg94::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,google/gemini-3.1-pro-preview,human_from_scratch,The Sun is an example of which of the following?,14,0.0008355428519765266,0.0026833853941870237
arc_challenge::arc_challenge:MCAS_8_2014_8::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:MCAS_8_2014_8,google/gemini-3.1-pro-preview,human_from_scratch,Which of the following is the most important function of the research and development department of a large corporation?,14,0.0008355428519765266,0.0026833853941870237
arc_challenge::arc_challenge:TIMSS_2003_8_pg94::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,The Sun is an example of which of the following?,14,0.0007598937577791856,0.002430442481326325
arc_challenge::arc_challenge:MCAS_8_2014_8::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:MCAS_8_2014_8,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Which of the following is the most important function of the research and development department of a large corporation?,14,0.0007598937577791856,0.002430442481326325
arc_challenge::arc_challenge:Mercury_405136::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:Mercury_405136,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Which statement is true about rocks?,14,0.0007598937577791856,0.002430442481326325
arc_challenge::arc_challenge:Mercury_7038833::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:Mercury_7038833,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Which of these describes the property of being a thermal insulator?,14,0.0007598937577791856,0.002430442481326325
arc_challenge::arc_challenge:Mercury_7107328::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:Mercury_7107328,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Two different species evolving from a common ancestor most likely occurs,14,0.0007598937577791856,0.002430442481326325
