dataset,section,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available
arc_challenge,From Scratch,Human,human_from_scratch,Human,,2985,-2.6010468651071865,0.02563325135412975,1.2003360726007628,0.0038250954195333743,1.4961474036850921,0.02209954433552606,True
arc_challenge,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,995,-2.3435961988484064,0.046561748523186924,1.2120945531498535,0.007118240186807508,2.093467336683417,0.04454293228431744,True
arc_challenge,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,995,-2.4455027237230422,0.04558272829284323,1.1990420123270438,0.007516761850960585,1.4331658291457285,0.037195192280521476,True
arc_challenge,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,995,-2.4939327265898057,0.04728705269273589,1.1971129145466304,0.00740132975701812,1.5316582914572865,0.03820688944733276,True
mmlu_pro,From Scratch,Human,human_from_scratch,Human,,2862,-0.6991431520885841,0.030538906893719648,1.195864960633926,0.004777906099432226,3.0761234071093226,0.03333109459963421,True
mmlu_pro,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,954,-0.4064636878459119,0.053879490914142764,1.1930177026988942,0.007861934504897378,2.993963782696177,0.048334632908006436,True
mmlu_pro,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,954,-0.5862010978406657,0.05387732936584802,1.1935535940247703,0.008202040722827026,2.7796780684104627,0.05749420183519612,True
mmlu_pro,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,954,-0.7351848616847886,0.053986201182911586,1.1958766848788172,0.008041934838725045,2.8772635814889336,0.058889422096892415,True
gpqa,From Scratch,Human,human_from_scratch,Human,,1245,0.006033631734569106,0.03993193227722583,1.1888391422650946,0.007043625305383131,2.6705069124423964,0.04529744636008184,True
gpqa,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,415,0.14775809644752672,0.07155107234036565,1.1831975808036714,0.01129549276120704,2.705069124423963,0.06678788176710188,True
gpqa,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,415,0.07206884755595896,0.07080807017568705,1.1697342222612477,0.011789485566216819,2.576036866359447,0.07064972449271953,True
gpqa,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,415,-0.08134185529640335,0.07113818246128022,1.1668539707522312,0.011410335098420609,2.47926267281106,0.08247642952288599,True
