dataset,section,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available
arc_challenge,From Scratch,Human,human_from_scratch,Human,,2985,-2.635832037984624,0.025912834360107388,1.278968704533222,0.006717008896433242,1.4961474036850921,0.02209954433552606,True
arc_challenge,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,995,-2.277178738473918,0.048239385634301794,1.3145206591755796,0.012376113730016654,2.093467336683417,0.04454293228431744,True
arc_challenge,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,995,-2.4172525683817456,0.04557924227832851,1.2906616902561796,0.012793046263940176,1.4331658291457285,0.037195192280521476,True
arc_challenge,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,995,-2.435550625691552,0.047569386895684844,1.2648264029415097,0.01261011355077256,1.5316582914572865,0.03820688944733276,True
mmlu_pro,From Scratch,Human,human_from_scratch,Human,,2862,-0.6581362325495951,0.030179944040524775,1.2636111541918493,0.007357266997799879,2.8123689727463312,0.029715475035751185,True
mmlu_pro,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,954,-0.3502790247421396,0.054580373563535775,1.317654247395481,0.012461154363303957,3.0178197064989516,0.04951136307917294,True
mmlu_pro,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,954,-0.5170814164993345,0.0538419688545193,1.2908425302206654,0.01257028025781082,2.4056603773584904,0.04645472654643363,True
mmlu_pro,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,954,-0.6582801219292322,0.05407857386493447,1.268344678952648,0.012476047742657221,2.5230607966457024,0.04934776079990048,True
gpqa,From Scratch,Human,human_from_scratch,Human,,1245,0.12117905099819501,0.03918776432865462,1.2792528066134377,0.009734815840731534,2.5453815261044177,0.042265408022498056,True
gpqa,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,415,0.2607570563478596,0.07271663553652523,1.2633309436522193,0.017279579071824553,2.708433734939759,0.06822521148907669,True
gpqa,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,415,0.22540519441433213,0.06972472269027125,1.2307327582040213,0.015921479080644296,2.4168674698795183,0.06504407122397986,True
gpqa,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,415,0.07334179244681444,0.0716095696130632,1.215076357280889,0.017335400988321606,2.4120481927710844,0.07167091037322233,True
