item_id,dataset,sample_id,generator,setting,question,n_obs,outfit,infit
mmlu_pro::mmlu_pro:505::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro,mmlu_pro:505,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,"Conflict between sequential members in a distribution network, such as producers, distributor, and retailers, over such matters as carrying a particular range or price increases is referred to as:",4,2.807685498704678,1.8031708376301514
arc_challenge::arc_challenge:NAEP_2000_4_S12+3::openai/gpt-5.2-2025-12-11::model_from_scratch,arc_challenge,arc_challenge:NAEP_2000_4_S12+3,openai/gpt-5.2-2025-12-11,model_from_scratch,Which of the following is NOT a form of precipitation?,4,2.7564584320513053,2.394649687142675
mmlu_pro::mmlu_pro:505::google/gemini-3.1-pro-preview::human_from_scratch,mmlu_pro,mmlu_pro:505,google/gemini-3.1-pro-preview,human_from_scratch,"Conflict between sequential members in a distribution network, such as producers, distributor, and retailers, over such matters as carrying a particular range or price increases is referred to as:",4,2.747159629022621,1.768807216063421
mmlu_pro::mmlu_pro:505::openai/gpt-5.2-2025-12-11::human_from_scratch,mmlu_pro,mmlu_pro:505,openai/gpt-5.2-2025-12-11,human_from_scratch,"Conflict between sequential members in a distribution network, such as producers, distributor, and retailers, over such matters as carrying a particular range or price increases is referred to as:",4,2.611814030899131,1.694216139334914
arc_challenge::arc_challenge:Mercury_405161::together/Qwen/Qwen3.5-397B-A17B::augment_ablation,arc_challenge,arc_challenge:Mercury_405161,together/Qwen/Qwen3.5-397B-A17B,augment_ablation,Pumice is formed when magma blows out of a volcano and cools quickly. Pumice is the only rock that will float because pumice,4,2.6098612524123355,1.6875444363852945
arc_challenge::arc_challenge:Mercury_7015995::google/gemini-3.1-pro-preview::model_from_scratch,arc_challenge,arc_challenge:Mercury_7015995,google/gemini-3.1-pro-preview,model_from_scratch,Which is electrically attracted to positively-charged particles in an atom?,4,2.5274222528361823,2.189308844156863
mmlu_pro::mmlu_pro:1563::google/gemini-3.1-pro-preview::model_from_scratch,mmlu_pro,mmlu_pro:1563,google/gemini-3.1-pro-preview,model_from_scratch,"A man entered a half-opened window to a neighbor's trailer and waited in the dark bedroom inside. After a while, he got in bed and had sexual relations with the woman while she slept. At trial, he claimed that he believed that the woman had consented because he had dated her many times and had consensual sexual relations with her many times in the past. He hadn't seen her in about one week but assumed her consent. He denied specific intent to rape and claimed a desire to surprise her with a ""romantic"" variation of their usual activities. The woman admitted to prior consensual relations but denied consent on this occasion. Has he stated a viable defense to rape?",4,2.517009966333636,1.6450392222718093
arc_challenge::arc_challenge:Mercury_SC_LBS11003::openai/gpt-5.2-2025-12-11::augment_human,arc_challenge,arc_challenge:Mercury_SC_LBS11003,openai/gpt-5.2-2025-12-11,augment_human,"When considering if scientific research is correct, all of these are important except",4,2.510181154158334,1.635886349355105
arc_challenge::arc_challenge:Mercury_SC_415476::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_SC_415476,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which is most likely a learned behavior for a raccoon?,4,2.508653291004239,1.6406200698707032
arc_challenge::arc_challenge:Mercury_7267523::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_7267523,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which of the following natural disasters is most likely to result in a narrow path of destruction through a forest?,4,2.482335828464785,1.6277355376192226
arc_challenge::arc_challenge:NYSEDREGENTS_2015_4_11::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:NYSEDREGENTS_2015_4_11,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which energy transfer occurs when a student blows a whistle?,4,2.4729628010045506,1.6229536587033482
arc_challenge::arc_challenge:NYSEDREGENTS_2012_8_19::openai/gpt-5.2-2025-12-11::augment_human,arc_challenge,arc_challenge:NYSEDREGENTS_2012_8_19,openai/gpt-5.2-2025-12-11,augment_human,Which factor would most likely limit the number of mice living in an area?,4,2.4430637318913253,1.6012396458563043
