dataset,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available
arc_challenge,GPT Augment Human,augment_human,Augment Human,openai/gpt-5.2-2025-12-11,995,-2.5433499449391004,0.0492987749397147,1.1909278104266237,0.009241370330354187,2.9316582914572864,0.052877454173043806,True
arc_challenge,Gemini Augment Human,augment_human,Augment Human,google/gemini-3.1-pro-preview,995,-2.9636717001181374,0.04639171745998032,1.2309377334282645,0.007908812126428152,2.093467336683417,0.045285813088431076,True
arc_challenge,Qwen Augment Human,augment_human,Augment Human,together/Qwen/Qwen3.5-397B-A17B,995,-2.893281264910536,0.048835074877195614,1.1981669048446006,0.00838167381247138,2.279396984924623,0.04619236633835751,True
arc_challenge,GPT Augment Model,augment_model,Augment Model,openai/gpt-5.2-2025-12-11,995,-2.5762916260980284,0.05032640149069106,1.2156624732484036,0.008783123709909786,3.1085427135678394,0.053965030247239074,True
arc_challenge,Gemini Augment Model,augment_model,Augment Model,google/gemini-3.1-pro-preview,995,-2.9230348535479487,0.04672129427484757,1.2279302250501736,0.00787794571891284,2.1055276381909547,0.046990881305705806,True
arc_challenge,Qwen Augment Model,augment_model,Augment Model,together/Qwen/Qwen3.5-397B-A17B,995,-2.901607520056048,0.04876987282890075,1.1990167287583606,0.00845140953098238,2.2542713567839194,0.04663179037552986,True
arc_challenge,GPT Augment Ablation,augment_ablation,Ablation,openai/gpt-5.2-2025-12-11,995,-2.8869564195531225,0.04944221372398414,1.2080128452689238,0.008490044511332513,3.078391959798995,0.05498225410639786,True
arc_challenge,Gemini Augment Ablation,augment_ablation,Ablation,google/gemini-3.1-pro-preview,995,-3.058233610415863,0.046644364423933576,1.2271314915279459,0.007799289703900411,2.164824120603015,0.04738779495124831,True
arc_challenge,Qwen Augment Ablation,augment_ablation,Ablation,together/Qwen/Qwen3.5-397B-A17B,995,-3.046921317866354,0.04856620328069888,1.184192144310959,0.008772563576991427,2.238190954773869,0.04785045855527956,True
mmlu_pro,GPT Augment Human,augment_human,Augment Human,openai/gpt-5.2-2025-12-11,954,-1.0352787938748886,0.05205451501051189,1.2293482001230758,0.008067729434613532,3.805835010060362,0.05764182639830427,True
mmlu_pro,Gemini Augment Human,augment_human,Augment Human,google/gemini-3.1-pro-preview,954,-1.262985134525995,0.05170239744701481,1.21197649631383,0.008434492689310097,3.614688128772636,0.06621356726347065,True
