dataset,section,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available
arc_challenge,From Scratch,Human,human_from_scratch,Human,,2985,-3.44963558444224,0.026243741368076084,1.1907196082792801,0.0034220615166502214,1.4961474036850921,0.02209954433552606,True
arc_challenge,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,995,-3.2549780788913028,0.04768182285088645,1.1906961088657513,0.006731088764794337,2.093467336683417,0.04454293228431744,True
arc_challenge,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,995,-3.3596115393040686,0.04605673351612014,1.1883165702188998,0.006609661991444389,1.4331658291457285,0.037195192280521476,True
arc_challenge,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,995,-3.3963118753338293,0.048050548083117005,1.1790889631400223,0.00707855152131228,1.5316582914572865,0.03820688944733276,True
mmlu_pro,From Scratch,Human,human_from_scratch,Human,,2862,-1.7040846538407177,0.02997832182580987,1.2058079191285223,0.004330081530171708,3.0761234071093226,0.03333109459963421,True
mmlu_pro,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,954,-1.5216160878658385,0.05295472086397707,1.2123952244973304,0.007131786267726392,2.993963782696177,0.048334632908006436,True
mmlu_pro,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,954,-1.6779424155026477,0.052538973302449436,1.2082539354192965,0.007567177669403487,2.7796780684104627,0.05749420183519612,True
mmlu_pro,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,954,-1.7998718670207023,0.0529787946762255,1.2005927783061603,0.007700835523154621,2.8772635814889336,0.058889422096892415,True
gpqa,From Scratch,Human,human_from_scratch,Human,,1245,-1.0069459045820388,0.03954910956908702,1.2055266197385015,0.006441135627622875,2.6705069124423964,0.04529744636008184,True
gpqa,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,415,-0.924577366419777,0.07151366588009578,1.2082849521052184,0.010360464729333982,2.705069124423963,0.06678788176710188,True
gpqa,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,415,-1.0072927866436807,0.07016173777012086,1.1894545218492216,0.011421822775378104,2.576036866359447,0.07064972449271953,True
gpqa,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,415,-1.1191467780423034,0.07132769726002516,1.1788491936558163,0.011037067868761982,2.47926267281106,0.08247642952288599,True
