analysis,analysis_label,dataset,target,model,features,n_items,n_stems,rank,r2,delta_r2_from_full
4_choice_from_scratch,4-choice from-scratch,arc_challenge,difficulty,intercept_only,intercept,5970,995,1,0.0,0.012428897921058168
4_choice_from_scratch,4-choice from-scratch,arc_challenge,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,5970,995,4,0.006117078304897161,0.006311819616161007
4_choice_from_scratch,4-choice from-scratch,arc_challenge,difficulty,flaws_only,n_flaws,5970,995,2,0.007847043248780161,0.004581854672278007
4_choice_from_scratch,4-choice from-scratch,arc_challenge,difficulty,full,source_GPT+source_Gemini+source_Qwen+n_flaws,5970,995,5,0.012428897921058168,0.0
4_choice_from_scratch,4-choice from-scratch,arc_challenge,difficulty,drop_source_from_full,n_flaws,5970,995,2,0.007847043248780161,0.004581854672278007
4_choice_from_scratch,4-choice from-scratch,arc_challenge,difficulty,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen,5970,995,4,0.006117078304897161,0.006311819616161007
4_choice_from_scratch,4-choice from-scratch,arc_challenge,discrimination,intercept_only,intercept,5970,995,1,1.1102230246251565e-16,0.0011420252219294103
4_choice_from_scratch,4-choice from-scratch,arc_challenge,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,5970,995,4,0.0007510748887804564,0.0003909503331490649
4_choice_from_scratch,4-choice from-scratch,arc_challenge,discrimination,flaws_only,n_flaws,5970,995,2,0.000536596606292572,0.0006054286156369493
4_choice_from_scratch,4-choice from-scratch,arc_challenge,discrimination,full,source_GPT+source_Gemini+source_Qwen+n_flaws,5970,995,5,0.0011420252219295213,0.0
4_choice_from_scratch,4-choice from-scratch,arc_challenge,discrimination,drop_source_from_full,n_flaws,5970,995,2,0.000536596606292572,0.0006054286156369493
4_choice_from_scratch,4-choice from-scratch,arc_challenge,discrimination,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen,5970,995,4,0.0007510748887804564,0.0003909503331490649
4_choice_from_scratch,4-choice from-scratch,gpqa,difficulty,intercept_only,intercept,2604,434,1,0.0,0.5596911664929584
4_choice_from_scratch,4-choice from-scratch,gpqa,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,2604,434,4,0.5579759214333184,0.001715245059639936
4_choice_from_scratch,4-choice from-scratch,gpqa,difficulty,flaws_only,n_flaws,2604,434,2,0.0023839280262439866,0.5573072384667144
4_choice_from_scratch,4-choice from-scratch,gpqa,difficulty,full,source_GPT+source_Gemini+source_Qwen+n_flaws,2604,434,5,0.5596911664929584,0.0
4_choice_from_scratch,4-choice from-scratch,gpqa,difficulty,drop_source_from_full,n_flaws,2604,434,2,0.0023839280262439866,0.5573072384667144
4_choice_from_scratch,4-choice from-scratch,gpqa,difficulty,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen,2604,434,4,0.5579759214333184,0.001715245059639936
4_choice_from_scratch,4-choice from-scratch,gpqa,discrimination,intercept_only,intercept,2604,434,1,0.0,0.004699122539146283
4_choice_from_scratch,4-choice from-scratch,gpqa,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,2604,434,4,0.0032950408655133545,0.0014040816736329287
4_choice_from_scratch,4-choice from-scratch,gpqa,discrimination,flaws_only,n_flaws,2604,434,2,0.001382191871470706,0.003316930667675577
4_choice_from_scratch,4-choice from-scratch,gpqa,discrimination,full,source_GPT+source_Gemini+source_Qwen+n_flaws,2604,434,5,0.004699122539146283,0.0
4_choice_from_scratch,4-choice from-scratch,gpqa,discrimination,drop_source_from_full,n_flaws,2604,434,2,0.001382191871470706,0.003316930667675577
4_choice_from_scratch,4-choice from-scratch,gpqa,discrimination,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen,2604,434,4,0.0032950408655133545,0.0014040816736329287
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,difficulty,intercept_only,intercept,5964,994,1,0.0,0.0463711367312204
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,5964,994,4,0.0046537724107197365,0.04171736432050066
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,difficulty,flaws_only,n_flaws,5964,994,2,0.041029967623195884,0.005341169108024513
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,difficulty,full,source_GPT+source_Gemini+source_Qwen+n_flaws,5964,994,5,0.0463711367312204,0.0
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,difficulty,drop_source_from_full,n_flaws,5964,994,2,0.041029967623195884,0.005341169108024513
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,difficulty,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen,5964,994,4,0.0046537724107197365,0.04171736432050066
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,discrimination,intercept_only,intercept,5964,994,1,-2.220446049250313e-16,0.011751457294357892
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,5964,994,4,0.0006949520613508398,0.01105650523300683
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,discrimination,flaws_only,n_flaws,5964,994,2,0.011045523275646119,0.0007059340187115515
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,discrimination,full,source_GPT+source_Gemini+source_Qwen+n_flaws,5964,994,5,0.01175145729435767,0.0
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,discrimination,drop_source_from_full,n_flaws,5964,994,2,0.011045523275646119,0.0007059340187115515
4_choice_from_scratch,4-choice from-scratch,mmlu_pro,discrimination,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen,5964,994,4,0.0006949520613508398,0.01105650523300683
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,intercept_only,intercept,8955,995,1,0.0,0.019978336357872606
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,8955,995,4,0.004858312280640376,0.01512002407723223
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,ablation_only,is_ablation,8955,995,2,0.0029868921632919543,0.01699144419458065
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,flaws_only,n_flaws,8955,995,2,0.015075005541245412,0.004903330816627194
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,source_plus_ablation,source_GPT+source_Gemini+source_Qwen+is_ablation,8955,995,5,0.0076142034503520195,0.012364132907520586
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,8955,995,5,0.017209184415041823,0.002769151942830783
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,ablation_plus_flaws,is_ablation+n_flaws,8955,995,3,0.018188220615519612,0.0017901157423529934
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,full,source_GPT+source_Gemini+source_Qwen+is_ablation+n_flaws,8955,995,6,0.019978336357872606,0.0
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,drop_source_from_full,is_ablation+n_flaws,8955,995,3,0.018188220615519612,0.0017901157423529934
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,drop_ablation_from_full,source_GPT+source_Gemini+source_Qwen+n_flaws,8955,995,5,0.017209184415041823,0.002769151942830783
10_choice_augmentation,10-choice augmentation,arc_challenge,difficulty,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen+is_ablation,8955,995,5,0.0076142034503520195,0.012364132907520586
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,intercept_only,intercept,8955,995,1,0.0,0.0013623048535664761
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,8955,995,4,0.0011212688335693333,0.00024103601999714286
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,ablation_only,is_ablation,8955,995,2,0.00010888832874333954,0.0012534165248231366
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,flaws_only,n_flaws,8955,995,2,1.3005168773005948e-06,0.0013610043366891755
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,source_plus_ablation,source_GPT+source_Gemini+source_Qwen+is_ablation,8955,995,5,0.0013505819307340072,1.1722922832468896e-05
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,8955,995,5,0.001133109711268343,0.0002291951422981331
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,ablation_plus_flaws,is_ablation+n_flaws,8955,995,3,0.00010997711278459832,0.0012523277407818778
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,full,source_GPT+source_Gemini+source_Qwen+is_ablation+n_flaws,8955,995,6,0.0013623048535664761,0.0
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,drop_source_from_full,is_ablation+n_flaws,8955,995,3,0.00010997711278459832,0.0012523277407818778
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,drop_ablation_from_full,source_GPT+source_Gemini+source_Qwen+n_flaws,8955,995,5,0.001133109711268343,0.0002291951422981331
10_choice_augmentation,10-choice augmentation,arc_challenge,discrimination,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen+is_ablation,8955,995,5,0.0013505819307340072,1.1722922832468896e-05
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,intercept_only,intercept,3906,434,1,0.0,0.6851842936303396
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,3906,434,4,0.36247488668528893,0.3227094069450507
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,ablation_only,is_ablation,3906,434,2,0.32942835565850415,0.35575593797183547
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,flaws_only,n_flaws,3906,434,2,0.005225860870269217,0.6799584327600704
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,source_plus_ablation,source_GPT+source_Gemini+source_Qwen+is_ablation,3906,434,5,0.6838096925179247,0.0013746011124149415
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,3906,434,5,0.3628765987191991,0.32230769491114053
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,ablation_plus_flaws,is_ablation+n_flaws,3906,434,3,0.3362242320362564,0.3489600615940832
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,full,source_GPT+source_Gemini+source_Qwen+is_ablation+n_flaws,3906,434,6,0.6851842936303396,0.0
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,drop_source_from_full,is_ablation+n_flaws,3906,434,3,0.3362242320362564,0.3489600615940832
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,drop_ablation_from_full,source_GPT+source_Gemini+source_Qwen+n_flaws,3906,434,5,0.3628765987191991,0.32230769491114053
10_choice_augmentation,10-choice augmentation,gpqa,difficulty,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen+is_ablation,3906,434,5,0.6838096925179247,0.0013746011124149415
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,intercept_only,intercept,3906,434,1,0.0,0.004945284000601569
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,3906,434,4,0.0040296553773754296,0.000915628623226139
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,ablation_only,is_ablation,3906,434,2,0.0017391818223907451,0.0032061021782108234
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,flaws_only,n_flaws,3906,434,2,0.0007795269909197655,0.004165757009681803
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,source_plus_ablation,source_GPT+source_Gemini+source_Qwen+is_ablation,3906,434,5,0.004264242248917749,0.0006810417516838196
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,3906,434,5,0.0046863089699969995,0.00025897503060456906
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,ablation_plus_flaws,is_ablation+n_flaws,3906,434,3,0.0025606243809784823,0.0023846596196230863
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,full,source_GPT+source_Gemini+source_Qwen+is_ablation+n_flaws,3906,434,6,0.004945284000601569,0.0
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,drop_source_from_full,is_ablation+n_flaws,3906,434,3,0.0025606243809784823,0.0023846596196230863
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,drop_ablation_from_full,source_GPT+source_Gemini+source_Qwen+n_flaws,3906,434,5,0.0046863089699969995,0.00025897503060456906
10_choice_augmentation,10-choice augmentation,gpqa,discrimination,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen+is_ablation,3906,434,5,0.004264242248917749,0.0006810417516838196
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,intercept_only,intercept,8946,994,1,0.0,0.048972226432851484
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,8946,994,4,0.0024805040290329927,0.04649172240381849
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,ablation_only,is_ablation,8946,994,2,0.0021612173883861496,0.046811009044465335
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,flaws_only,n_flaws,8946,994,2,0.044364183287254,0.004608043145597485
