item_id,dataset,sample_id,generator,setting,question,n_obs,outfit,infit
arc_challenge::arc_challenge:MCAS_8_2014_8::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:MCAS_8_2014_8,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which of the following is the most important function of the research and development department of a large corporation?,14,0.0009302335747326469,0.003000136033955966
arc_challenge::arc_challenge:Mercury_7038833::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_7038833,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Which of these describes the property of being a thermal insulator?,14,0.0009302335747326469,0.003000136033955966
arc_challenge::arc_challenge:Mercury_7107328::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:Mercury_7107328,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,Two different species evolving from a common ancestor most likely occurs,14,0.0009302335747326469,0.003000136033955966
arc_challenge::arc_challenge:TIMSS_2003_8_pg94::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,The Sun is an example of which of the following?,14,0.0009302335747326469,0.003000136033955966
arc_challenge::arc_challenge:AKDE&ED_2008_4_19::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:AKDE&ED_2008_4_19,google/gemini-3.1-pro-preview,human_from_scratch,Which statement describes a positive effect of a scientific discovery?,14,0.0009144859813640337,0.002947338619435811
arc_challenge::arc_challenge:Mercury_7038833::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:Mercury_7038833,google/gemini-3.1-pro-preview,human_from_scratch,Which of these describes the property of being a thermal insulator?,14,0.0008407621249029438,0.0026987770962516567
arc_challenge::arc_challenge:Mercury_7107328::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:Mercury_7107328,google/gemini-3.1-pro-preview,human_from_scratch,Two different species evolving from a common ancestor most likely occurs,14,0.0008407621249029438,0.0026987770962516567
arc_challenge::arc_challenge:TIMSS_2003_8_pg94::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,google/gemini-3.1-pro-preview,human_from_scratch,The Sun is an example of which of the following?,14,0.0008407621249029438,0.0026987770962516567
arc_challenge::arc_challenge:MCAS_8_2014_8::google/gemini-3.1-pro-preview::human_from_scratch,arc_challenge,arc_challenge:MCAS_8_2014_8,google/gemini-3.1-pro-preview,human_from_scratch,Which of the following is the most important function of the research and development department of a large corporation?,14,0.0008407621249029438,0.0026987770962516567
arc_challenge::arc_challenge:AKDE&ED_2008_4_19::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:AKDE&ED_2008_4_19,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Which statement describes a positive effect of a scientific discovery?,14,0.0008335697095486287,0.002674900044182009
arc_challenge::arc_challenge:Mercury_405136::openai/gpt-5.2-2025-12-11::model_from_scratch,arc_challenge,arc_challenge:Mercury_405136,openai/gpt-5.2-2025-12-11,model_from_scratch,Which statement is true about rocks?,14,0.0008015437592760463,0.002567362964824043
arc_challenge::arc_challenge:MCAS_8_2014_8::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:MCAS_8_2014_8,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Which of the following is the most important function of the research and development department of a large corporation?,14,0.0007657487316001108,0.0024479376993898606
arc_challenge::arc_challenge:Mercury_7107328::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:Mercury_7107328,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Two different species evolving from a common ancestor most likely occurs,14,0.0007657487316001108,0.0024479376993898606
arc_challenge::arc_challenge:Mercury_7038833::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:Mercury_7038833,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,Which of these describes the property of being a thermal insulator?,14,0.0007657487316001108,0.0024479376993898606
arc_challenge::arc_challenge:TIMSS_2003_8_pg94::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,The Sun is an example of which of the following?,14,0.0007657487316001108,0.0024479376993898606
