generation_run_name,generator,dataset,sample_id,eval_model,eval_model_display,setting,evaluation_prediction,correct_answer_letter,distractor_source,source_status,round_split_status
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_407400,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,J,F,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7171605,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7235638,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,G,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_416645,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,F,C,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7139878,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7016765,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7058415,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,C,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7034843,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,G,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7086695,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,H,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_412374,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_401818,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_400383,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_402029,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,J,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7128555,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,J,I,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2006_8_24,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,I,round2,kept,matched
