analysis_label,dataset,target,term_label,coef,cluster_se_by_stem,standardized_coef,r2,n_items,n_stems
10-choice augmentation,arc_challenge,difficulty,Direct 9M vs staged 10-choice,-0.1948295442190947,0.0143738893635655,-0.0607635363124261,0.0199783363578726,8955,995
10-choice augmentation,arc_challenge,difficulty,GPT source vs Human,0.1431215173508942,0.0244177743660821,0.0393659669578339,0.0199783363578726,8955,995
10-choice augmentation,arc_challenge,difficulty,Gemini source vs Human,-0.0309186910619128,0.0190915072170995,-0.0085042710086606,0.0199783363578726,8955,995
10-choice augmentation,arc_challenge,difficulty,Per additional writing flaw,0.1072716801933911,0.0232253519047636,0.1139420920825459,0.0199783363578726,8955,995
10-choice augmentation,arc_challenge,difficulty,Qwen source vs Human,-0.0150134658929115,0.0188376183898293,-0.0041294950836351,0.0199783363578726,8955,995
10-choice augmentation,gpqa,difficulty,Direct 9M vs staged 10-choice,-0.1947786585155038,0.0001777466670176,-0.6558438664544178,0.6851842936303396,3906,434
10-choice augmentation,gpqa,difficulty,GPT source vs Human,0.1824804943242669,0.0002357534169434,0.5418802280626547,0.6851842936303396,3906,434
10-choice augmentation,gpqa,difficulty,Gemini source vs Human,0.0141906578078301,0.0003271726962861,0.0421395005408176,0.6851842936303396,3906,434
10-choice augmentation,gpqa,difficulty,Per additional writing flaw,0.0028408594382588,0.0010872651033198,0.0372404174625419,0.6851842936303396,3906,434
10-choice augmentation,gpqa,difficulty,Qwen source vs Human,-0.0519283349772657,0.0003671374617125,-0.1542024428670821,0.6851842936303396,3906,434
10-choice augmentation,mmlu_pro,difficulty,Direct 9M vs staged 10-choice,-0.2003312173019241,0.0137796913143335,-0.0562114586557604,0.0489722264328514,8946,994
10-choice augmentation,mmlu_pro,difficulty,GPT source vs Human,0.1992437210855838,0.0186068147283215,0.0493047356289902,0.0489722264328514,8946,994
10-choice augmentation,mmlu_pro,difficulty,Gemini source vs Human,0.1569270285289948,0.0209170849819017,0.0388330714388817,0.0489722264328514,8946,994
10-choice augmentation,mmlu_pro,difficulty,Per additional writing flaw,0.1832328907685349,0.0227125606315242,0.21122738880003,0.0489722264328514,8946,994
10-choice augmentation,mmlu_pro,difficulty,Qwen source vs Human,-0.0247630399983968,0.0186979862158551,-0.0061278475117749,0.0489722264328514,8946,994
10-choice augmentation,arc_challenge,discrimination,Direct 9M vs staged 10-choice,-0.0120874962128999,0.0075127175985366,-0.0174812447097489,0.0013623048535664,8955,995
10-choice augmentation,arc_challenge,discrimination,GPT source vs Human,0.0175961526475476,0.0099761652146878,0.0224430298660266,0.0013623048535664,8955,995
10-choice augmentation,arc_challenge,discrimination,Gemini source vs Human,0.0206909457578084,0.009391594172624,0.0263902867234758,0.0013623048535664,8955,995
10-choice augmentation,arc_challenge,discrimination,Per additional writing flaw,-0.0007123171961854,0.0034051633035489,-0.0035084905404304,0.0013623048535664,8955,995
10-choice augmentation,arc_challenge,discrimination,Qwen source vs Human,-0.0089186437469133,0.0093937920274685,-0.0113752927691453,0.0013623048535664,8955,995
10-choice augmentation,gpqa,discrimination,Direct 9M vs staged 10-choice,1.6757404214895456e-07,1.4503628380836308e-07,0.0185906285988592,0.0049452840006015,3906,434
10-choice augmentation,gpqa,discrimination,GPT source vs Human,3.3105531321940297e-07,1.7780493650348793e-07,0.0323903511814648,0.0049452840006015,3906,434
10-choice augmentation,gpqa,discrimination,Gemini source vs Human,3.211360234118574e-07,1.7547932179998565e-07,0.031419850882851,0.0049452840006015,3906,434
10-choice augmentation,gpqa,discrimination,Per additional writing flaw,-6.069040441480207e-08,6.252771305995468e-08,-0.0262127789022934,0.0049452840006015,3906,434
10-choice augmentation,gpqa,discrimination,Qwen source vs Human,6.228623951780722e-07,1.7396716945192486e-07,0.0609406673505812,0.0049452840006015,3906,434
10-choice augmentation,mmlu_pro,discrimination,Direct 9M vs staged 10-choice,0.0053059226432603,0.0075665578804134,0.0078464244622523,0.0168070668468066,8946,994
10-choice augmentation,mmlu_pro,discrimination,GPT source vs Human,-0.0035621479194004,0.0092218494301745,-0.0046456939854571,0.0168070668468066,8946,994
10-choice augmentation,mmlu_pro,discrimination,Gemini source vs Human,-0.0523917075691959,0.0101039194436986,-0.068328392377095,0.0168070668468066,8946,994
10-choice augmentation,mmlu_pro,discrimination,Per additional writing flaw,-0.0135255439935307,0.0026205947842089,-0.0821743348406789,0.0168070668468066,8946,994
10-choice augmentation,mmlu_pro,discrimination,Qwen source vs Human,-0.0824867049896063,0.0101350935033059,-0.1075777867514541,0.0168070668468066,8946,994
4-choice from-scratch,arc_challenge,difficulty,GPT source vs Human,0.2456875874802941,0.0283550588424983,0.0624472532432192,0.0124288979210581,5970,995
4-choice from-scratch,arc_challenge,difficulty,Gemini source vs Human,0.1763477497127153,0.0201015637935373,0.0448229098511745,0.0124288979210581,5970,995
4-choice from-scratch,arc_challenge,difficulty,Per additional writing flaw,0.0942240661887433,0.0311822132185062,0.080769668088807,0.0124288979210581,5970,995
