dataset,section,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available
arc_challenge,From Scratch,Human,human_from_scratch,Human,,2985,-1.910512142322453,0.0277543855384292,1.1687132854958304,0.003335958605222378,1.4961474036850921,0.02209954433552606,True
arc_challenge,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,995,-1.6573666330028176,0.04928295284835519,1.1822022341616836,0.006040571712158966,2.093467336683417,0.04454293228431744,True
arc_challenge,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,995,-1.7605801763367928,0.04883535895651341,1.1646612749450935,0.006609378926987822,1.4331658291457285,0.037195192280521476,True
arc_challenge,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,995,-1.7959839985541435,0.05018580274405555,1.1662621609053192,0.006607770469363969,1.5316582914572865,0.03820688944733276,True
mmlu_pro,From Scratch,Human,human_from_scratch,Human,,2862,0.03400180201466021,0.03174737956248162,1.1487139016351398,0.0039693988409709256,3.0761234071093226,0.03333109459963421,True
mmlu_pro,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,954,0.2814818279657462,0.05516768902952092,1.1503749300813966,0.006449199076727639,2.993963782696177,0.048334632908006436,True
mmlu_pro,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,954,0.11193615607751531,0.054933495229513005,1.1441044831596272,0.006945437792567857,2.7796780684104627,0.05749420183519612,True
mmlu_pro,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,954,-0.012677686693883654,0.05548543407637038,1.1462407981227531,0.006954898391799472,2.8772635814889336,0.058889422096892415,True
gpqa,From Scratch,Human,human_from_scratch,Human,,1245,8.644548276781366,0.0030143543210428753,0.9999924901029418,3.574660708893174e-06,2.6705069124423964,0.04529744636008184,True
gpqa,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,415,8.879280057730297,0.0014588341833912414,0.999981272951559,7.049118225181023e-06,2.705069124423963,0.06678788176710188,True
gpqa,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,415,8.708639120044838,0.0014593001563177525,0.9999952586048954,6.883989459458365e-06,2.576036866359447,0.07064972449271953,True
gpqa,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,415,8.635699865429288,0.0014580507276936738,0.9999915506369602,7.001206708056753e-06,2.47926267281106,0.08247642952288599,True
