setting,eval_model,source_status,count,eval_model_display
augment_human,vllm/meta-llama/Llama-3.1-8B-Instruct,correct,3078,Llama3.1-8B
augment_human,vllm/meta-llama/Llama-3.1-8B-Instruct,kept,4007,Llama3.1-8B
augment_human,vllm/meta-llama/Llama-3.1-8B-Instruct,random_fallback,7,Llama3.1-8B
augment_human,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,correct,4601,Nemotron-Nano-9B
augment_human,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,kept,2489,Nemotron-Nano-9B
augment_human,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,random_fallback,2,Nemotron-Nano-9B
augment_human,vllm/allenai/Olmo-3-7B-Instruct,correct,2606,Olmo3-7B
augment_human,vllm/allenai/Olmo-3-7B-Instruct,kept,4486,Olmo3-7B
augment_human,vllm/Qwen/Qwen3-4B-Instruct-2507,correct,3550,Qwen3-4B
augment_human,vllm/Qwen/Qwen3-4B-Instruct-2507,kept,3542,Qwen3-4B
augment_human,openai/gpt-5.4-mini,correct,5861,openai/gpt-5.4-mini
augment_human,openai/gpt-5.4-mini,kept,1227,openai/gpt-5.4-mini
augment_human,openai/gpt-5.4-mini,random_fallback,4,openai/gpt-5.4-mini
augment_human,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,correct,2921,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B
augment_human,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,kept,3198,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B
augment_human,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,random_fallback,973,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B
augment_human,vllm/LiquidAI/LFM2-1.2B,correct,1554,vllm/LiquidAI/LFM2-1.2B
augment_human,vllm/LiquidAI/LFM2-1.2B,kept,5489,vllm/LiquidAI/LFM2-1.2B
augment_human,vllm/LiquidAI/LFM2-1.2B,random_fallback,49,vllm/LiquidAI/LFM2-1.2B
