item_id,stem_id,dataset,sample_id,generator,setting,choice_count,question,difficulty,discrimination,guessing
arc_challenge::arc_challenge:VASoL_2007_5_22::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge::arc_challenge:VASoL_2007_5_22,arc_challenge,arc_challenge:VASoL_2007_5_22,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,22 Sandy is conducting an investigation to find out which food his dog likes best. Which is the manipulated variable in his investigation?,-4.990887481001281,1.0296734279724582,0.250436721351319
arc_challenge::arc_challenge:Mercury_SC_401792::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,arc_challenge::arc_challenge:Mercury_SC_401792,arc_challenge,arc_challenge:Mercury_SC_401792,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,Which is a renewable resource?,-4.990887481001281,1.0296734279724582,0.250436721351319
mmlu_pro::mmlu_pro:2353::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:2353,mmlu_pro,mmlu_pro:2353,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,A behavior that is elicited automatically by an environmental stimulus is called a(n),-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:2084::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:2084,mmlu_pro,mmlu_pro:2084,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,"According to Bronfenbrenner’s (1979) ecological model, the ______ consists of interactions between elements of the microsystem (e.g., between the family and the school).",-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:77::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:77,mmlu_pro,mmlu_pro:77,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,"Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:2406::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:2406,mmlu_pro,mmlu_pro:2406,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,Turning up the volume on a music player changes which aspect of sound?,-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:2168::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:2168,mmlu_pro,mmlu_pro:2168,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,What part of Phineas Gage's brain was damaged by his accident while laying the railroad track?,-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:2014::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:2014,mmlu_pro,mmlu_pro:2014,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:1491::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:1491,mmlu_pro,mmlu_pro:1491,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,Which of these statements best describes the UK Constitution?,-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:2195::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:2195,mmlu_pro,mmlu_pro:2195,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,Any substance that can have a negative impact on fetal development is ___________.,-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:689::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,mmlu_pro::mmlu_pro:689,mmlu_pro,mmlu_pro:689,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,4,Which of the following is typically not a result of recognizing the importance of ethnic groups by marketers?,-4.995944435627344,1.029445242072384,0.25043300370697497
mmlu_pro::mmlu_pro:2353::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:2353,mmlu_pro,mmlu_pro:2353,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,A behavior that is elicited automatically by an environmental stimulus is called a(n),-5.082872620333279,1.0263350455156781,0.25037930568596695
mmlu_pro::mmlu_pro:689::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:689,mmlu_pro,mmlu_pro:689,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,Which of the following is typically not a result of recognizing the importance of ethnic groups by marketers?,-5.082872620333279,1.0263350455156781,0.25037930568596695
mmlu_pro::mmlu_pro:77::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:77,mmlu_pro,mmlu_pro:77,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,"Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",-5.082872620333279,1.0263350455156781,0.25037930568596695
mmlu_pro::mmlu_pro:2084::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:2084,mmlu_pro,mmlu_pro:2084,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,"According to Bronfenbrenner’s (1979) ecological model, the ______ consists of interactions between elements of the microsystem (e.g., between the family and the school).",-5.082872620333279,1.0263350455156781,0.25037930568596695
mmlu_pro::mmlu_pro:2195::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:2195,mmlu_pro,mmlu_pro:2195,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,Any substance that can have a negative impact on fetal development is ___________.,-5.082872620333279,1.0263350455156781,0.25037930568596695
mmlu_pro::mmlu_pro:2168::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:2168,mmlu_pro,mmlu_pro:2168,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,What part of Phineas Gage's brain was damaged by his accident while laying the railroad track?,-5.082872620333279,1.0263350455156781,0.25037930568596695
mmlu_pro::mmlu_pro:1491::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:1491,mmlu_pro,mmlu_pro:1491,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,Which of these statements best describes the UK Constitution?,-5.082872620333279,1.0263350455156781,0.25037930568596695
mmlu_pro::mmlu_pro:2014::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:2014,mmlu_pro,mmlu_pro:2014,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",-5.082872620333279,1.0263350455156781,0.25037930568596695
mmlu_pro::mmlu_pro:2406::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,mmlu_pro::mmlu_pro:2406,mmlu_pro,mmlu_pro:2406,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,4,Turning up the volume on a music player changes which aspect of sound?,-5.082872620333279,1.0263350455156781,0.25037930568596695
