dataset,section,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available
arc_challenge,From Scratch,Human,human_from_scratch,Human,,2985,-2.636076169327221,0.025909434349053774,1.2789682250230958,0.006716001139947992,1.4961474036850921,0.02209954433552606,True
arc_challenge,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,995,-2.2773197193247747,0.048231049932077254,1.314402673233984,0.012375364470227872,2.093467336683417,0.04454293228431744,True
arc_challenge,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,995,-2.4174538296414814,0.04556991525588301,1.290655169527647,0.012791421680111487,1.4331658291457285,0.037195192280521476,True
arc_challenge,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,995,-2.4359685478282804,0.04756151084213538,1.2647752728323893,0.012610088162495117,1.5316582914572865,0.03820688944733276,True
mmlu_pro,From Scratch,Human,human_from_scratch,Human,,2862,-0.6580567971530081,0.03018721911665806,1.263563864229887,0.007356319572546085,2.8123689727463312,0.029715475035751185,True
mmlu_pro,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,954,-0.35002733929093066,0.05459143728678849,1.3175728064527479,0.012459911737671444,3.0178197064989516,0.04951136307917294,True
mmlu_pro,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,954,-0.5170043493564087,0.053849628080036974,1.2906673091681753,0.012569750584509074,2.4056603773584904,0.04645472654643363,True
mmlu_pro,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,954,-0.6584015986833568,0.05408830486668363,1.2683060936429527,0.012472696935103477,2.5230607966457024,0.04934776079990048,True
gpqa,From Scratch,Human,human_from_scratch,Human,,1245,0.12089117915952245,0.03919185753197672,1.27919135654204,0.009732115991559884,2.5453815261044177,0.042265408022498056,True
gpqa,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,415,0.26071520103669843,0.07272361220028942,1.263347821871826,0.0172757802645797,2.708433734939759,0.06822521148907669,True
gpqa,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,415,0.22527736396889403,0.06973331694166011,1.230764222106999,0.01591745946448124,2.4168674698795183,0.06504407122397986,True
gpqa,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,415,0.07301132125457635,0.07161459170486434,1.2150542235231407,0.017331244817581373,2.4120481927710844,0.07167091037322233,True
