dataset,setting,generator,n_questions,mean_flaws,mean_flaws_se
arc_challenge,human_from_scratch,google/gemini-3.1-pro-preview,995,1.506532663316583,0.03760613710647212
arc_challenge,human_from_scratch,openai/gpt-5.2-2025-12-11,995,1.5246231155778895,0.038026431037058876
arc_challenge,human_from_scratch,together/Qwen/Qwen3.5-397B-A17B,995,1.4572864321608041,0.03918905719899776
arc_challenge,model_from_scratch,google/gemini-3.1-pro-preview,995,1.4331658291457285,0.037195192280521476
arc_challenge,model_from_scratch,openai/gpt-5.2-2025-12-11,995,2.093467336683417,0.04454293228431744
arc_challenge,model_from_scratch,together/Qwen/Qwen3.5-397B-A17B,995,1.5316582914572865,0.03820688944733276
arc_challenge,augment_human,google/gemini-3.1-pro-preview,995,2.093467336683417,0.045285813088431076
arc_challenge,augment_human,openai/gpt-5.2-2025-12-11,995,2.9316582914572864,0.052877454173043806
arc_challenge,augment_human,together/Qwen/Qwen3.5-397B-A17B,995,2.279396984924623,0.04619236633835751
arc_challenge,augment_model,google/gemini-3.1-pro-preview,995,2.1055276381909547,0.046990881305705806
arc_challenge,augment_model,openai/gpt-5.2-2025-12-11,995,3.1085427135678394,0.053965030247239074
arc_challenge,augment_model,together/Qwen/Qwen3.5-397B-A17B,995,2.2542713567839194,0.04663179037552986
arc_challenge,augment_ablation,google/gemini-3.1-pro-preview,995,2.164824120603015,0.04738779495124831
arc_challenge,augment_ablation,openai/gpt-5.2-2025-12-11,995,3.078391959798995,0.05498225410639786
arc_challenge,augment_ablation,together/Qwen/Qwen3.5-397B-A17B,995,2.238190954773869,0.04785045855527956
gpqa,human_from_scratch,google/gemini-3.1-pro-preview,434,2.8548387096774195,0.08070048442432218
gpqa,human_from_scratch,openai/gpt-5.2-2025-12-11,434,2.6912442396313363,0.07491358381863682
gpqa,human_from_scratch,together/Qwen/Qwen3.5-397B-A17B,434,2.4654377880184333,0.07870172264835197
gpqa,model_from_scratch,google/gemini-3.1-pro-preview,434,2.576036866359447,0.07064972449271953
gpqa,model_from_scratch,openai/gpt-5.2-2025-12-11,434,2.705069124423963,0.06678788176710188
gpqa,model_from_scratch,together/Qwen/Qwen3.5-397B-A17B,434,2.47926267281106,0.08247642952288599
gpqa,augment_human,google/gemini-3.1-pro-preview,434,3.2903225806451615,0.09021411187626803
gpqa,augment_human,openai/gpt-5.2-2025-12-11,434,3.377880184331797,0.08856538239569468
gpqa,augment_human,together/Qwen/Qwen3.5-397B-A17B,434,3.0668202764976957,0.09276294998322437
gpqa,augment_model,google/gemini-3.1-pro-preview,434,2.986175115207373,0.08587758164522051
gpqa,augment_model,openai/gpt-5.2-2025-12-11,434,3.421658986175115,0.0816829896538356
gpqa,augment_model,together/Qwen/Qwen3.5-397B-A17B,434,2.9331797235023043,0.08799377875069313
gpqa,augment_ablation,google/gemini-3.1-pro-preview,434,3.1313364055299537,0.08480499508841186
gpqa,augment_ablation,openai/gpt-5.2-2025-12-11,434,3.4953917050691246,0.08464725510241725
gpqa,augment_ablation,together/Qwen/Qwen3.5-397B-A17B,434,3.1175115207373274,0.09235892824600932
mmlu_pro,human_from_scratch,google/gemini-3.1-pro-preview,994,3.3028169014084505,0.061899117107840934
mmlu_pro,human_from_scratch,openai/gpt-5.2-2025-12-11,994,2.8501006036217302,0.050374065924007
mmlu_pro,human_from_scratch,together/Qwen/Qwen3.5-397B-A17B,994,3.0754527162977867,0.05944008123688655
mmlu_pro,model_from_scratch,google/gemini-3.1-pro-preview,994,2.7796780684104627,0.05749420183519612
mmlu_pro,model_from_scratch,openai/gpt-5.2-2025-12-11,994,2.993963782696177,0.048334632908006436
mmlu_pro,model_from_scratch,together/Qwen/Qwen3.5-397B-A17B,994,2.8772635814889336,0.058889422096892415
mmlu_pro,augment_human,google/gemini-3.1-pro-preview,994,3.614688128772636,0.06621356726347065
mmlu_pro,augment_human,openai/gpt-5.2-2025-12-11,994,3.805835010060362,0.05764182639830427
mmlu_pro,augment_human,together/Qwen/Qwen3.5-397B-A17B,994,3.6639839034205233,0.06418057747017943
mmlu_pro,augment_model,google/gemini-3.1-pro-preview,994,3.1780684104627768,0.05939012698137317
mmlu_pro,augment_model,openai/gpt-5.2-2025-12-11,994,3.5925553319919517,0.055313936905051674
mmlu_pro,augment_model,together/Qwen/Qwen3.5-397B-A17B,994,3.4466800804828974,0.06443189254300802
mmlu_pro,augment_ablation,google/gemini-3.1-pro-preview,994,3.2857142857142856,0.06179267860729741
mmlu_pro,augment_ablation,openai/gpt-5.2-2025-12-11,994,3.5492957746478875,0.05542463403956084
mmlu_pro,augment_ablation,together/Qwen/Qwen3.5-397B-A17B,994,3.4788732394366195,0.06513860314361733
