dataset,target,model,features,n_rows,rank,r2,delta_r2_from_full
arc_challenge,difficulty,intercept_only,intercept,8,1,0.0,0.9978296555536669
arc_challenge,difficulty,augmentation_only,is_augmentation,8,2,0.8739544294854811,0.1238752260681858
arc_challenge,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,8,4,0.10039360312196577,0.8974360524317011
arc_challenge,difficulty,flaws_only,mean_flaws,8,2,0.8741173967162726,0.12371225883739423
arc_challenge,difficulty,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,8,5,0.9743480326074468,0.023481622946220027
arc_challenge,difficulty,augmentation_plus_flaws,is_augmentation+mean_flaws,8,3,0.9789386818911723,0.018890973662494592
arc_challenge,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+mean_flaws,8,5,0.9977836581311559,4.599742251099048e-05
arc_challenge,difficulty,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+mean_flaws,8,6,0.9978296555536669,0.0
arc_challenge,difficulty,drop_augmentation_from_full,full minus is_augmentation,8,5,0.9977836581311559,4.599742251099048e-05
arc_challenge,difficulty,drop_source_from_full,full minus source dummies,8,3,0.9789386818911723,0.018890973662494592
arc_challenge,difficulty,drop_flaws_from_full,full minus mean_flaws,8,5,0.9743480326074468,0.023481622946220027
arc_challenge,discrimination,intercept_only,intercept,8,1,0.0,0.9956715200209295
arc_challenge,discrimination,augmentation_only,is_augmentation,8,2,0.8230634441320681,0.1726080758888614
arc_challenge,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,8,4,0.17196969421795394,0.8237018258029756
arc_challenge,discrimination,flaws_only,mean_flaws,8,2,0.7283945156226814,0.2672770043982481
arc_challenge,discrimination,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,8,5,0.9950331383500218,0.0006383816709076839
arc_challenge,discrimination,augmentation_plus_flaws,is_augmentation+mean_flaws,8,3,0.8747679616583068,0.12090355836262268
arc_challenge,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+mean_flaws,8,5,0.9639662970291689,0.031705222991760595
arc_challenge,discrimination,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+mean_flaws,8,6,0.9956715200209295,0.0
arc_challenge,discrimination,drop_augmentation_from_full,full minus is_augmentation,8,5,0.9639662970291689,0.031705222991760595
arc_challenge,discrimination,drop_source_from_full,full minus source dummies,8,3,0.8747679616583068,0.12090355836262268
arc_challenge,discrimination,drop_flaws_from_full,full minus mean_flaws,8,5,0.9950331383500218,0.0006383816709076839
gpqa,difficulty,intercept_only,intercept,8,1,0.0,0.9962659911909071
gpqa,difficulty,augmentation_only,is_augmentation,8,2,0.9104262341242944,0.08583975706661273
gpqa,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,8,4,0.08572417449079328,0.9105418167001138
gpqa,difficulty,flaws_only,mean_flaws,8,2,0.8574645738797826,0.1388014173111245
gpqa,difficulty,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,8,5,0.9961504086150876,0.00011558257581945064
gpqa,difficulty,augmentation_plus_flaws,is_augmentation+mean_flaws,8,3,0.9485307839251934,0.047735207265713675
